Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (              logout)] - Entering Auth/logout
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (              logout)] - Logout user:  @
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:58:04 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - feeds partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Wed, 31 Aug 11 12:58:04 -0500: [DEBUG      (             include)] - UUID: Null
Wed, 31 Aug 11 12:58:13 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:58:13 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:58:13 -0500: [INFO       (               login)] - Entering Auth/login
Wed, 31 Aug 11 12:58:13 -0500: [INFO       (               login)] - Login user: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - confirm view loaded
Wed, 31 Aug 11 12:58:13 -0500: [DEBUG      (             include)] - UUID: Null
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (               index)] - UUID: c8c99c3e-23af-4c0f-a90d-343d54d98888
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (             include)] - Grid Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (             include)] - Site Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (             include)] - Region Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:58:15 -0500: [INFO       (             include)] - User Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - functionality view loaded
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (             include)] - UUID: c8c99c3e-23af-4c0f-a90d-343d54d98888
Wed, 31 Aug 11 12:58:15 -0500: [DEBUG      (               index)] - isLoggedIn() == TRUE
Wed, 31 Aug 11 12:58:27 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:58:27 -0500: [INFO       (         __construct)] - Feeds controller loaded
Wed, 31 Aug 11 12:58:27 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - feeds partial view loaded
Wed, 31 Aug 11 12:58:27 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 17:41:44 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 17:41:44 -0500: [INFO       (         __construct)] - Feeds controller loaded
